chave,rede,id,quando
2026-09-17|19:00|ig,ig,17885693355685181,2026-09-17T20:11:33.270973-04:00
2026-09-17|19:00|fb,fb,1346789025174077_122115963927434401,2026-09-17T20:11:38.098483-04:00
2026-09-18|19:00|ig,ig,18135141844711464,2026-09-18T19:11:27.599275-04:00
2026-09-18|19:00|fb,fb,1346789025174077_122116179309434401,2026-09-18T19:11:37.056397-04:00
2026-09-19|19:00|ig,ig,17899767972606418,2026-09-19T19:10:10.616090-04:00
2026-09-19|19:00|fb,fb,1346789025174077_122116475739434401,2026-09-19T19:10:17.691998-04:00
2026-09-20|19:00|ig,ig,18195586534391025,2026-09-20T19:10:32.689290-04:00
2026-09-20|19:00|fb,fb,1346789025174077_122116725765434401,2026-09-20T19:10:39.443814-04:00
2026-09-21|19:00|ig,ig,18141819775606904,2026-09-21T19:26:44.344038-04:00
2026-09-21|19:00|fb,fb,1346789025174077_122117001591434401,2026-09-21T19:26:48.637599-04:00
2026-09-22|19:00|ig,ig,18006223295970577,2026-09-22T19:10:51.715659-04:00
2026-09-22|19:00|fb,fb,1346789025174077_122117271261434401,2026-09-22T19:10:57.482805-04:00
2026-09-23|19:00|ig,ig,18458152888136796,2026-09-23T19:09:36.106405-04:00
2026-09-23|19:00|fb,fb,1346789025174077_122117494401434401,2026-09-23T19:09:44.135553-04:00
2026-09-25|19:00|ig,ig,18114444811825804,2026-09-25T19:11:00.969122-04:00
2026-09-25|19:00|fb,fb,1346789025174077_122117987049434401,2026-09-25T19:11:07.207979-04:00
