data,hora,imagem,legenda,redes
2026-09-10,19:00,P0042_0043_P1_three-oclock-pot.png,"The second pot goes on at three. That one isn't optional.

He has been asleep beside the desk since nine — not resting, properly asleep, on his side, feet moving, working through some errand of his own.

He will reach the end of this day on nothing at all. No list, no plan, no second pot. We'll get there too, but only because of what's in the carafe.

One of us has a system. The other one has coffee.

#australianshepherd #aussiesofinstagram #dogsofinstagram #workfromhome #afternooncoffee #coffeelover #dogsandcoffee #deskdog #petillustration #houndandroast #thehoundandroastsociety",ig+fb
2026-09-11,19:00,P0043_0044_P2_coffee-canine-chaos.png,"The mug was on the low table, which is another way of saying the mug was inside the arc.

Nobody was misbehaving. A tail that is genuinely pleased travels a good deal further than its owner has any idea about — vets see enough tails split open on doorframes and table legs to have a name for the injury.

Ours has taken out two mugs, a candle and one full press since spring. The press is the one we still talk about.

Coffee. Canine. Chaos. Always in that order.

#jackrussell #terriersofinstagram #dogsofinstagram #happytail #dogsandcoffee #coffeelover #butfirstcoffee #dogproblems #petillustration #houndandroast #thehoundandroastsociety",ig+fb
2026-09-12,19:00,P0044_0045_P3_roast-date.png,"Almost every bag prints a best-by date. Very few print the one that matters.

Coffee is not shelf-stable in the way that date suggests. Roasted beans give off carbon dioxide for days afterward, and the aromatics go with it — most beans are at their best somewhere between three days and three weeks off the roast, and flat long before the printed date runs out.

A best-by twelve months out tells you the bag will not spoil. It says nothing about whether the coffee is still worth grinding.

So look for a roast date. A roaster who is proud of it puts it on the bag. A bag that doesn't show one is telling you the roaster wasn't thinking about you when they filled it.

#coffeetips #coffeefacts #freshlyroasted #specialtycoffee #wholebeancoffee #coffeelover #butfirstcoffee #homebarista #coffeeathome #roastdate #houndandroast #thehoundandroastsociety",ig+fb
2026-09-13,19:00,P0045_0046_P1_day-four.png,"Day four. There are five rooms in this house and she has picked the doorway.

Not the bed we bought her, not the rug in front of the stove. The threshold — where she can see the kitchen and whatever is moving in the rest of the house. She still stands up whenever we stand up, too. She isn't waiting for anyone. She just hasn't finished checking yet.

People in rescue describe the first stretch as three-three-three. Three days to stop bracing. Three weeks to learn the shape of a house. Three months before a dog believes the house is hers.

So we do very little. Coffee at the same hour, the same mug, the same chair, and nothing asked of her — no training, no visitors, no outings she didn't choose. Predictability is the entire program and it is far duller than anyone expects.

She came out of a shelter at two years old, which means she arrived with a personality already finished. We just haven't met her yet. Ask us on day ninety.

#adoptdontshop #rescuedog #dalmatian #dalmatiansofinstagram #shelterdog #adoptadultdogs #dogsofinstagram #slowmornings #dogsandcoffee #petillustration #houndandroast #thehoundandroastsociety",ig+fb
2026-09-14,19:00,P0046_0047_P2_first-sip-together.png,"He is out on the boards before the door is fully open, every morning, and he picks the same spot — facing the water, three feet off the chair.

The coffee gets poured and set down. Then the phone rings inside, and the chair sits empty for four minutes.

He doesn't move. Not up to the chair, not back indoors. He knows the morning ritual. He knows we're coming back in a minute.

Every morning has its favorite company. Ours is the one who holds the spot.

#dogsofinstagram #morningritual #slowmornings #porchlife #firstsip #coffeelover #butfirstcoffee #dogsandcoffee #quietmornings #petillustration #houndandroast #thehoundandroastsociety",ig+fb
2026-09-15,19:00,P0047_0048_P3_the-lean.png,"You are at the counter waiting on the kettle and forty pounds of dog arrives against your shin and stays there.

Contact settles them. Pressure against something steady is a way of confirming the something is still steady — the same instinct that has them sleeping against a wall, a chair leg, a foot.

The big ones do it hardest, mostly because they can. Put your weight back into them and they will hold the position all morning.

Nothing is being asked for. You are furniture that likes them back.

#dogbehavior #dogfacts #dogsofinstagram #caninebehaviour #dogmomlife #dogsandcoffee #butfirstcoffee #velcrodog #petsofinstagram #dogowners #houndandroast #thehoundandroastsociety",ig+fb
2026-09-16,19:00,P0048_0049_P4_tee-current-mood.png,"An English Bulldog wakes up the way the rest of us would if it were allowed: reluctantly, briefly, and with the option to reconsider.

He gets as far as the doorway most mornings. Sits down there. Watches the coffee happen from a safe distance, in case any of it turns out to require something of him.

None of it does. He goes back down, and if we could, we would go with him.

Send caffeine.

Printed to order on soft ring-spun cotton. Tap the tag.

#englishbulldog #bulldogsofinstagram #dogsofinstagram #currentmood #sendcaffeine #dogdad #dogmomlife #coffeelover #butfirstcoffee #printedtoorder #dogtshirt #houndandroast #thehoundandroastsociety",ig+fb
2026-09-17,19:00,P0049_0050_P1_nine-pm-decaf.png,"Decaf goes on at nine. We've never once forgotten what that means — mostly because he won't let us.

He knows the sound of that particular pour. Not espresso, not the second pot from the afternoon — decaf, poured slow, means the leash comes off the hook next.

He's already at the door by the time the mug hits the counter. Ten years of doing this, and he's never once let a night go by unmarked.

One last lap around the block, then the porch light goes off and the day actually ends.

Some of us keep better time than others. It's not the humans.

#boxersofinstagram #boxerdog #eveningwalk #dogsofinstagram #decaf #coffeelover #petillustration #slowevenings #dogdad #dogsandcoffee #houndandroast #thehoundandroastsociety",ig+fb
2026-09-18,19:00,P0050_0051_P2_coffee-supervisor.png,"Golden Retrievers carry things like the object still matters to someone. A pour-over kettle, apparently, counts.

He doesn't touch anything. He supervises — nose an inch from the dripper, watching the water find every corner of the grounds like it's a job he was assigned at birth.

If the bloom looks wrong, you'll know. He has a very specific head-tilt reserved for under-extracted coffee.

Approval required before the first sip. He wrote the rule. We just work here.

#goldenretriever #goldenretrieversofinstagram #pourovercoffee #coffeelover #specialtycoffee #dogsofinstagram #coffeeart #petillustration #coffeeandcanine #houndandroast #thehoundandroastsociety",ig+fb
2026-09-19,19:00,P0051_0052_P3_cold-brew-vs-iced.png,"Cold brew steeps in room-temperature or cold water for twelve to twenty-four hours. No heat touches it at any point.

Iced coffee is regular coffee, brewed hot the normal way, then cooled and poured over ice. Same beans, completely different extraction.

That's why cold brew tastes smoother and less acidic — heat is what pulls out most of the bitterness and acid in the first place, and cold brew skips it entirely.

Order confidently. The barista will notice.

#coldbrew #icedcoffee #coffeefacts #coffeetips #specialtycoffee #coffeelover #coffeeeducation #butfirstcoffee #homebarista #houndandroast #thehoundandroastsociety",ig+fb
